offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Arkansas State,Sun Belt,USC,Pac-12,400756884,4007568842,false,1,65,65,13,46,1,57,57,12,31,1,15,3,8,PUNT
USC,Pac-12,Arkansas State,Sun Belt,400756884,4007568843,false,1,7,93,12,31,1,48,52,10,7,2,24,6,41,PUNT
Arkansas State,Sun Belt,USC,Pac-12,400756884,4007568844,false,1,91,91,10,7,1,98,98,8,52,1,15,3,-7,PUNT
USC,Pac-12,Arkansas State,Sun Belt,400756884,4007568845,false,1,53,47,8,52,1,61,39,7,25,1,27,4,9,DOWNS
Arkansas State,Sun Belt,USC,Pac-12,400756884,4007568846,false,1,62,62,7,25,1,31,31,5,32,1,53,5,31,INT
USC,Pac-12,Arkansas State,Sun Belt,400756884,4007568847,false,1,15,85,5,32,1,42,58,1,49,3,43,8,27,PUNT
Arkansas State,Sun Belt,USC,Pac-12,400756884,4007568848,false,1,84,84,1,49,1,78,78,0,40,1,9,3,6,PUNT
USC,Pac-12,Arkansas State,Sun Belt,400756884,4007568849,true,1,60,40,0,40,1,100,0,0,0,,40,2,40,TD
Oregon,Pac-12,Eastern Washington,,400756886,4007568861,true,1,37,63,15,0,1,100,0,12,43,2,17,7,63,TD
Eastern Washington,,Oregon,Pac-12,400756886,4007568862,false,1,75,75,12,43,1,61,61,10,14,2,29,5,14,PUNT
Oregon,Pac-12,Eastern Washington,,400756886,4007568863,true,1,30,70,10,14,1,100,0,7,32,2,42,9,70,TD
Eastern Washington,,Oregon,Pac-12,400756886,4007568864,true,1,75,75,7,32,1,0,0,5,21,2,11,7,75,TD
Oregon,Pac-12,Eastern Washington,,400756886,4007568865,true,1,38,62,5,21,1,100,0,4,23,,58,4,62,TD
Eastern Washington,,Oregon,Pac-12,400756886,4007568866,false,1,86,86,4,23,1,59,59,1,38,2,45,6,27,PUNT
Oregon,Pac-12,Eastern Washington,,400756886,4007568867,true,1,23,77,1,38,2,100,0,14,22,2,16,9,77,TD
Eastern Washington,,Oregon,Pac-12,400756886,4007568868,true,2,75,75,14,22,2,0,0,12,15,2,7,5,75,TD
Oregon,Pac-12,Eastern Washington,,400756886,4007568869,true,2,39,61,12,15,2,100,0,10,37,1,38,7,61,TD
Weber State,,Oregon State,Pac-12,400756887,4007568871,false,1,73,73,15,0,1,51,51,12,43,2,17,5,22,PUNT
Oregon State,Pac-12,Weber State,,400756887,4007568872,false,1,9,91,12,43,1,44,56,9,52,2,51,6,35,PUNT
Weber State,,Oregon State,Pac-12,400756887,4007568873,false,1,85,85,9,52,1,76,76,7,52,2,,3,9,PUNT
Oregon State,Pac-12,Weber State,,400756887,4007568874,false,1,28,72,7,52,1,79,21,3,43,4,9,9,51,DOWNS
Weber State,,Oregon State,Pac-12,400756887,4007568875,false,1,79,79,3,43,1,64,64,1,8,2,35,5,15,PUNT
Oregon State,Pac-12,Weber State,,400756887,4007568876,false,1,42,58,1,8,1,50,50,0,0,1,8,3,8,PUNT
Weber State,,Oregon State,Pac-12,400756887,4007568877,false,2,83,83,15,0,2,80,80,13,1,1,59,3,3,PUNT
Oregon State,Pac-12,Weber State,,400756887,4007568878,true,2,55,45,13,1,2,88,12,10,16,2,45,6,33,FG
Weber State,,Oregon State,Pac-12,400756887,4007568879,false,2,81,81,10,16,2,78,78,9,11,1,5,3,3,PUNT
Boise State,Mountain West,Washington,Pac-12,400756888,4007568881,false,1,25,75,15,0,1,31,69,13,7,1,53,3,6,PUNT
Washington,Pac-12,Boise State,Mountain West,400756888,4007568882,false,1,70,70,13,7,1,42,42,9,26,3,41,6,28,PUNT
Boise State,Mountain West,Washington,Pac-12,400756888,4007568883,true,1,8,92,9,26,1,100,0,3,12,6,14,16,92,TD
Washington,Pac-12,Boise State,Mountain West,400756888,4007568884,false,1,75,75,3,12,1,54,54,0,45,2,27,5,21,PUNT
Boise State,Mountain West,Washington,Pac-12,400756888,4007568885,true,1,20,80,0,45,2,100,0,10,26,5,19,13,80,TD
Washington,Pac-12,Boise State,Mountain West,400756888,4007568886,false,2,75,75,10,26,2,75,75,10,19,,7,1,0,INT
Boise State,Mountain West,Washington,Pac-12,400756888,4007568887,false,2,76,24,10,19,2,85,15,8,27,1,52,4,9,DOWNS
Washington,Pac-12,Boise State,Mountain West,400756888,4007568888,false,2,85,85,8,27,2,72,72,5,54,2,33,5,13,PUNT
Boise State,Mountain West,Washington,Pac-12,400756888,4007568889,false,2,41,59,5,54,2,65,35,4,8,1,46,4,24,INT
Washington State,Pac-12,Portland State,,400756889,4007568891,true,1,25,75,15,0,1,96,4,10,45,4,15,11,71,FG
Portland State,,Washington State,Pac-12,400756889,4007568892,false,1,35,35,10,45,1,58,58,8,57,1,48,5,14,PUNT
Washington State,Pac-12,Portland State,,400756889,4007568893,false,1,3,97,8,57,2,96,4,14,4,9,53,20,93,MISSED FG
Portland State,,Washington State,Pac-12,400756889,4007568894,false,2,66,66,14,4,2,62,62,11,0,3,4,5,4,PUNT
Washington State,Pac-12,Portland State,,400756889,4007568895,true,2,23,77,11,0,2,100,0,7,45,3,15,7,77,TD
Portland State,,Washington State,Pac-12,400756889,4007568896,false,2,35,35,7,45,2,52,52,3,52,3,53,8,29,PUNT
Washington State,Pac-12,Portland State,,400756889,4007568897,false,2,9,91,3,52,2,42,58,0,36,3,16,7,33,PUNT
Portland State,,Washington State,Pac-12,400756889,4007568898,false,2,92,92,0,36,2,88,88,0,0,,36,1,4,END OF HALF
Portland State,,Washington State,Pac-12,400756889,4007568899,true,3,35,35,14,55,3,0,0,10,54,4,1,10,75,TD
Grambling,,California,Pac-12,400756890,4007568901,false,1,86,86,15,0,1,82,82,13,49,1,11,3,4,PUNT
California,Pac-12,Grambling,,400756890,4007568902,true,1,59,41,13,49,1,100,0,12,57,,52,3,41,TD
Grambling,,California,Pac-12,400756890,4007568903,false,1,62,62,12,57,1,32,32,11,52,1,5,4,30,DOWNS
California,Pac-12,Grambling,,400756890,4007568904,false,1,32,68,11,52,1,47,53,11,28,,24,1,15,INT
Grambling,,California,Pac-12,400756890,4007568905,false,1,45,45,11,28,1,43,43,10,26,1,2,3,2,PUNT
California,Pac-12,Grambling,,400756890,4007568906,false,1,20,80,10,26,1,99,1,7,53,2,33,7,79,FUMBLE
Grambling,,California,Pac-12,400756890,4007568907,true,1,99,99,7,53,1,95,95,7,15,,38,2,4,INT TD
Grambling,,California,Pac-12,400756890,4007568909,false,1,72,72,7,7,1,73,73,4,49,2,18,5,-1,INT
Stanford,Pac-12,Northwestern,Big Ten,400756891,4007568911,true,1,76,76,15,0,1,12,12,8,33,6,27,12,64,FG
Northwestern,Big Ten,Stanford,Pac-12,400756891,4007568912,false,1,24,76,8,33,1,29,71,7,10,1,23,3,5,PUNT
Stanford,Pac-12,Northwestern,Big Ten,400756891,4007568913,false,1,82,82,7,10,1,64,64,4,41,2,29,3,18,PUNT
Northwestern,Big Ten,Stanford,Pac-12,400756891,4007568914,true,1,17,83,4,41,1,86,14,0,52,3,49,13,69,FG
Stanford,Pac-12,Northwestern,Big Ten,400756891,4007568915,false,1,70,70,0,52,2,72,72,14,17,1,35,3,-2,PUNT
Northwestern,Big Ten,Stanford,Pac-12,400756891,4007568916,false,2,20,80,14,17,2,18,82,13,8,1,9,3,-2,PUNT
Stanford,Pac-12,Northwestern,Big Ten,400756891,4007568917,false,2,57,57,13,8,2,50,50,10,0,3,8,6,7,PUNT
