"","Team","Team.Conference","Gender","Goals.For","Goals.Against","Total.Wins","Total.Losses","Total.Ties","Total.Games","Total.Shut.Out","Total.Shut.Outs","Plus.Minus","Pct.Won","Plus.Minus.Rank","Opp.Wins","Opp.Losses","Opp.Ties","Opp.Goals.For","Opp.Goals.Against","Opp.Pct.Won","Conference.Pct.Won","Rank.Pct.Won","United.Soccer.Coaches.Ranking"
"359","Rhode Island","Atlantic 10","M",38,22,14,4,3,21,1,6,16,0.666666666666667,20,88,115,17,285,312,0.4,0.41025641025641,15,0
"360","Rhode Island","Atlantic 10","W",11,21,4,9,5,18,6,4,-10,0.222222222222222,51,31,35,7,96,104,0.424657534246575,0.432330827067669,18,0
"361","Rice","Conference USA","W",35,26,11,6,4,21,2,7,9,0.523809523809524,32,84,106,16,348,370,0.407766990291262,0.49063670411985,7,0
"362","Richmond","Atlantic 10","W",25,27,7,9,2,18,5,5,-2,0.388888888888889,43,48,64,19,163,219,0.366412213740458,0.432330827067669,18,0
"363","Rider","Metro Athletic Conference","W",28,25,8,6,4,18,4,5,3,0.444444444444444,38,33,83,8,102,230,0.266129032258065,0.416666666666667,24,0
"364","Rider","Metro Atlantic Athletic Conference","M",23,26,7,8,2,17,2,3,-3,0.411764705882353,39,32,67,8,121,191,0.299065420560748,0.404040404040404,16,0
"365","Robert Morris","Northeast","M",15,42,4,11,2,17,8,1,-27,0.235294117647059,61,10,34,4,44,126,0.208333333333333,0.401197604790419,18,0
"366","Robert Morris","Northeast","W",22,24,6,10,2,18,4,4,-2,0.333333333333333,43,29,73,6,98,204,0.268518518518519,0.341584158415842,30,0
"367","Rutgers","Big Ten","M",19,24,7,8,3,18,6,4,-5,0.388888888888889,41,49,62,13,160,188,0.395161290322581,0.44,11,0
"368","Rutgers","Big Ten","W",33,14,15,4,2,21,1,11,19,0.714285714285714,22,114,99,27,322,287,0.475,0.491166077738516,6,0
"369","Sacramento State","Big Sky","W",28,14,11,2,6,19,0,8,14,0.578947368421053,27,55,123,17,177,339,0.282051282051282,0.309278350515464,31,0
"370","Sacramento State","Big West","M",23,30,7,9,2,18,6,2,-7,0.388888888888889,43,45,68,13,172,213,0.357142857142857,0.483870967741935,7,0
"371","Sacred Heart","Northeast","M",11,38,2,11,3,16,7,0,-27,0.125,61,20,16,0,63,62,0.555555555555556,0.401197604790419,18,0
"372","Sacred Heart","Northeast","W",23,29,9,8,2,19,6,5,-6,0.473684210526316,47,42,104,14,148,285,0.2625,0.341584158415842,30,0
"373","Saint Francis (PA)","Northeast","M",28,17,10,5,1,16,3,5,11,0.625,25,47,86,12,166,290,0.324137931034483,0.401197604790419,18,0
"374","Saint Francis (PA)","Northeast","W",29,35,7,9,1,17,3,2,-6,0.411764705882353,47,32,83,9,123,227,0.258064516129032,0.341584158415842,30,0
"375","Saint Joseph's","Atlantic 10","M",23,33,5,12,1,18,7,2,-10,0.277777777777778,46,37,44,14,129,124,0.389473684210526,0.41025641025641,15,0
"376","Saint Joseph's","Atlantic 10","W",16,24,7,10,2,19,8,5,-8,0.368421052631579,49,56,64,15,171,200,0.414814814814815,0.432330827067669,18,0
"377","Saint Louis","Atlantic 10","M",24,19,10,7,0,17,4,8,5,0.588235294117647,31,70,90,19,228,263,0.391061452513966,0.41025641025641,15,0
"378","Saint Louis","Atlantic 10","W",45,11,17,4,2,23,4,11,34,0.739130434782609,10,108,133,37,335,383,0.388489208633094,0.432330827067669,18,0
