ID,Name,Event,Round,Place,Time,Flag,Pts,Event Name,Date,Course,Gender,Season
96,Erin Lang,100 Y IM,Timed Finals,21st,01:02.8,,533,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
97,Maddie Ziegert,100 Y IM,Timed Finals,23rd,01:02.8,,532,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
98,Sage Ohlensehlen,100 Y IM,Timed Finals,24th,01:02.9,,531,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
99,Helena Blumenau,1000 Y Free,Timed Finals,–,11:06.3,,531,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
100,Meghan Hackett,100 Y Fly,Timed Finals,–,01:01.1,,529,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
101,Helena Blumenau,100 Y IM,Timed Finals,25th,01:02.9,,529,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
102,Anna Brooker,100 Y IM,Timed Finals,26th,01:03.0,,527,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
103,Helena Blumenau,100 Y Free,Timed Finals,–,56.56,,523,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
104,Alleyna Thomas,500 Y Free,Timed Finals,12th,05:28.0,,522,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
105,Zoe Pawloski,200 Y Back,Timed Finals,10th,02:14.1,,521,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
106,Christina Kaufman,200 Y Fly,Timed Finals,8th,02:16.3,,519,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
107,Sammy Sauer,100 Y IM,Timed Finals,31st,01:03.4,,517,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
108,Christina Kaufman,100 Y Fly,Timed Finals,–,01:02.2,,501,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
109,Amy Lenderink,200 Y Fly,Timed Finals,9th,02:17.9,,501,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
110,Paige Hanley,100 Y IM,Timed Finals,35th,01:04.1,,500,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
111,Zoe Mekus,100 Y IM,Timed Finals,37th,01:04.9,,483,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
112,Amy Lenderink,100 Y Fly,Timed Finals,–,01:03.3,,475,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
113,Taylor Hartley,100 Y IM,Timed Finals,38th,01:05.4,,471,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
114,Alleyna Thomas,100 Y IM,Timed Finals,41st,01:06.8,,442,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
115,Christina Kaufman,100 Y IM,Timed Finals,42nd,01:07.1,,436,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
116,Georgia Clark,50 Y Back,Timed Finals,–,27.8,R,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
117,Julia Koluch,50 Y Back,Timed Finals,–,27.13,R,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
118,Zoe Pawloski,50 Y Back,Timed Finals,–,26.95,R,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
119,Millie Sansome,50 Y Back,Timed Finals,–,26.1,R,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
120,Sam Tamborski,3M Diving,Timed Finals,1st,316.45,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
121,Thelma Strandberg,3M Diving,Timed Finals,2nd,269.45,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
122,Jayah Mathews,3M Diving,Timed Finals,3rd,264.7,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
123,Sam Tamborski,1M Diving,Timed Finals,3rd,279.55,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
124,Thelma Strandberg,1M Diving,Timed Finals,5th,231.9,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
125,Jayah Mathews,1M Diving,Timed Finals,1st,296.25,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
126,Aleksandra Olesiak,50 Y Breast,Timed Finals,3rd,30.26,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
127,Sage Ohlensehlen,50 Y Breast,Timed Finals,1st,29.68,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
128,Zoe Mekus,50 Y Breast,Timed Finals,5th,30.72,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
129,Paige Hanley,50 Y Breast,Timed Finals,4th,30.7,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
130,CC Crane,50 Y Breast,Timed Finals,6th,31.73,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
131,Ariel Wooden,50 Y Fly,Timed Finals,8th,26.98,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
132,Alleyna Thomas,50 Y Fly,Timed Finals,20th,28.74,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
133,Sarah Schemmel,50 Y Fly,Timed Finals,5th,26.17,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
134,Grace Reeder,50 Y Fly,Timed Finals,16th,27.72,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
135,Lauren McDougall,50 Y Fly,Timed Finals,2nd,25.44,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
136,Amy Lenderink,50 Y Fly,Timed Finals,18th,28.07,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
137,Payton Lange,50 Y Fly,Timed Finals,14th,27.52,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
138,Christina Kaufman,50 Y Fly,Timed Finals,19th,28.18,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
139,Lexi Horner,50 Y Fly,Timed Finals,6th,26.62,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
140,Meghan Hackett,50 Y Fly,Timed Finals,10th,27.12,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
141,Kelsey Drake,50 Y Fly,Timed Finals,1st,25.23,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
142,Hannah Burvill,50 Y Fly,Timed Finals,3rd,25.45,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
143,Maddie Ziegert,50 Y Back,Timed Finals,5th,27.71,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
144,Sammy Sauer,50 Y Back,Timed Finals,9th,28.09,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
145,Millie Sansome,50 Y Back,Timed Finals,1st,26.26,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
146,Macy Rink,50 Y Back,Timed Finals,12th,28.62,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
147,Zoe Pawloski,50 Y Back,Timed Finals,3rd,26.63,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
148,Erin Lang,50 Y Back,Timed Finals,6th,27.72,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
149,Julia Koluch,50 Y Back,Timed Finals,4th,26.95,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
150,Taylor Hartley,50 Y Back,Timed Finals,16th,30.34,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
151,Allyssa Fluit,50 Y Back,Timed Finals,13th,28.86,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
152,Georgia Clark,50 Y Back,Timed Finals,7th,27.76,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
153,Anna Brooker,50 Y Back,Timed Finals,10th,28.11,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
154,Helena Blumenau,50 Y Back,Timed Finals,15th,29.61,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,W,2019-2020
1,Mateusz Arndt,500 Y Free,Timed Finals,1st,04:30.0,,768,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
2,Iowa (A),200 Y Free Relay,Timed Finals,1st,01:21.2,,758,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
3,Mateusz Arndt,1000 Y Free,Timed Finals,1st,09:25.5,,751,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
4,Iowa (A),400 Y Free Relay,Timed Finals,1st,03:01.4,,743,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
5,Michael Tenney,200 Y Free,Timed Finals,2nd,01:39.2,,736,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
6,Iowa (A),200 Y Medley Relay,Timed Finals,1st,01:30.5,,731,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
7,Aleksey TARASENKO,200 Y Free,Timed Finals,3rd,01:39.3,,731,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
8,Will Myhre,100 Y Breast,Timed Finals,1st,55.25,,727,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
9,Will Myhre,100 Y IM,Timed Finals,1st,51.3,,721,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
10,Anze Fers,100 Y IM,Timed Finals,2nd,51.52,,711,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
11,Anze Fers,200 Y Back,Timed Finals,1st,01:47.6,,705,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
12,Aleksey TARASENKO,100 Y Free,Timed Finals,1st,44.85,,704,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
13,Evan Holt,1000 Y Free,Timed Finals,3rd,09:39.2,,699,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
14,Iowa (B),200 Y Free Relay,Timed Finals,2nd,01:23.6,,695,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
15,Aleksey TARASENKO,100 Y Free,Timed Finals,–,45.07,R,694,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
16,Ryan Purdy,100 Y IM,Timed Finals,3rd,52.03,,691,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
17,Aleksey TARASENKO,100 Y IM,Timed Finals,5th,52.11,,687,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
18,Evan Holt,500 Y Free,Timed Finals,–,04:40.6,,684,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
19,Anze Fers,200 Y IM,Timed Finals,1st,01:51.6,,680,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
20,Michael Tenney,200 Y Fly,Timed Finals,1st,01:50.7,,680,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
21,Tom Schab,1000 Y Free,Timed Finals,5th,09:45.0,,678,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
22,Iowa (B),400 Y Free Relay,Timed Finals,–,03:07.3,,675,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
23,Iowa (B),200 Y Medley Relay,Timed Finals,3rd,01:33.0,,673,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
24,Ryan Purdy,200 Y Back,Timed Finals,2nd,01:49.2,,673,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
25,Joe Myhre,100 Y Free,Timed Finals,2nd,45.55,,672,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
26,Daniel Swanepoel,100 Y IM,Timed Finals,6th,52.52,,671,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
27,Andrew Fierke,500 Y Free,Timed Finals,–,04:42.8,,669,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
28,Dolan Craine,100 Y IM,Timed Finals,7th,52.58,,669,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
29,Andrew Fierke,1000 Y Free,Timed Finals,6th,09:48.2,,667,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
30,Iowa (C),200 Y Medley Relay,Timed Finals,4th,01:33.4,,665,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
31,Daniel Swanepoel,100 Y Breast,Timed Finals,3rd,57.24,,654,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
32,Jackson Allmon,100 Y IM,Timed Finals,8th,53,,653,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
33,Dolan Craine,200 Y IM,Timed Finals,–,01:53.3,,650,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
34,Preston Planells,100 Y IM,Timed Finals,10th,53.21,,646,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
35,Anze Fers,100 Y Back,Timed Finals,1st,50.36,,644,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
36,Will Myhre,200 Y Breast,Timed Finals,–,02:05.0,,644,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
37,Stjepan Fiolic,100 Y Free,Timed Finals,3rd,46.25,,642,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
38,Iowa (D),200 Y Free Relay,Timed Finals,5th,01:26.0,,640,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
39,William Scott,100 Y Free,Timed Finals,4th,46.29,,640,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
40,William Scott,50 Y Free,Timed Finals,1st,20.46,,640,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
41,Michael Tenney,100 Y Fly,Timed Finals,–,49.66,,640,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
42,Daniel Swanepoel,200 Y Breast,Timed Finals,–,02:05.3,,638,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
43,Jackson Allmon,200 Y Free,Timed Finals,4th,01:44.0,,637,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
44,Iowa (C),200 Y Free Relay,Timed Finals,6th,01:26.2,,636,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
45,Iowa (E),200 Y Free Relay,Timed Finals,7th,01:26.2,,634,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
46,Ryan Purdy,100 Y Back,Timed Finals,2nd,50.65,,633,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
47,Joe Myhre,100 Y IM,Timed Finals,12th,53.57,,633,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
48,Iowa (C),400 Y Free Relay,Timed Finals,–,03:11.5,,632,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
49,Joe Myhre,50 Y Free,Timed Finals,–,20.56,R,631,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
50,John Colin,100 Y Back,Timed Finals,3rd,50.75,,629,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
51,Ryan Purdy,200 Y IM,Timed Finals,–,01:54.6,,628,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
52,Joe Myhre,50 Y Free,Timed Finals,3rd,20.62,,625,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
53,Daniel Swanepoel,200 Y IM,Timed Finals,–,01:54.8,,624,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
54,Jackson Allmon,100 Y Free,Timed Finals,–,46.72,R,623,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
55,Preston Planells,200 Y Back,Timed Finals,–,01:52.3,,619,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
56,Tom Schab,500 Y Free,Timed Finals,–,04:50.1,,619,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
57,Thomas Pederson,500 Y Free,Timed Finals,–,04:50.1,,619,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
58,Mateusz Arndt,100 Y IM,Timed Finals,16th,53.95,,619,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
59,Dolan Craine,200 Y Fly,Timed Finals,3rd,01:54.4,,616,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
60,Iowa (D),200 Y Medley Relay,Timed Finals,6th,01:35.9,,615,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
61,Thomas Pederson,200 Y Free,Timed Finals,5th,01:45.3,,614,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
62,Jacob Rosenkoetter,100 Y IM,Timed Finals,17th,54.28,,608,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
63,Weston Credit,100 Y IM,Timed Finals,18th,54.3,,608,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
64,Caleb Babb,100 Y IM,Timed Finals,19th,54.32,,607,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
65,Stjepan Fiolic,50 Y Free,Timed Finals,4th,20.86,,604,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
66,Weston Credit,100 Y Breast,Timed Finals,6th,58.93,,600,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
67,John Colin,100 Y IM,Timed Finals,21st,54.54,,600,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
68,Will Myhre,50 Y Free,Timed Finals,–,20.93,R,598,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
69,Jacob Rosenkoetter,100 Y Back,Timed Finals,–,51.72,,595,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
70,Jackson Allmon,200 Y Fly,Timed Finals,5th,01:55.8,,594,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
71,Evan Holt,100 Y IM,Timed Finals,23rd,54.75,,593,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
72,Jackson Allmon,100 Y Fly,Timed Finals,–,51,,591,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
73,Andrew Fierke,100 Y IM,Timed Finals,27th,55.04,,583,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
74,Preston Planells,100 Y Back,Timed Finals,6th,52.25,,577,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
75,Caleb Babb,100 Y Breast,Timed Finals,7th,59.78,,574,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
76,Andrew Fierke,100 Y Free,Timed Finals,–,48.14,R,569,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
77,Iowa (D),400 Y Free Relay,Timed Finals,–,03:18.3,,569,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
78,Thomas Pederson,100 Y IM,Timed Finals,32nd,55.57,,567,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
79,Jacob Rosenkoetter,200 Y Back,Timed Finals,5th,01:55.8,,565,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
80,Mateusz Arndt,50 Y Free,Timed Finals,–,21.49,R,552,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
81,John Colin,200 Y Back,Timed Finals,7th,01:56.9,,549,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
82,Samuel Dumford,100 Y Free,Timed Finals,–,48.78,R,547,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
83,Samuel Dumford,100 Y IM,Timed Finals,35th,56.26,,546,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
84,Weston Credit,200 Y Breast,Timed Finals,–,02:13.0,,535,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
85,Caleb Babb,200 Y Breast,Timed Finals,–,02:13.8,,525,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
86,Samuel Dumford,50 Y Free,Timed Finals,8th,21.88,,523,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
87,Samuel Dumford,100 Y Fly,Timed Finals,–,53.18,,521,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
88,Ryan Purdy,50 Y Free,Timed Finals,–,21.96,R,517,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
89,Weston Credit,50 Y Free,Timed Finals,–,21.98,R,516,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
90,Preston Planells,100 Y Fly,Timed Finals,–,54,,498,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
91,Tom Schab,100 Y IM,Timed Finals,39th,58.62,,483,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
92,Preston Planells,50 Y Back,Timed Finals,–,24.45,R,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
93,Ryan Purdy,50 Y Back,Timed Finals,–,23.91,R,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
94,Anze Fers,50 Y Back,Timed Finals,–,23.84,R,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
95,John Colin,50 Y Back,Timed Finals,–,23.22,R,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
96,Jonatan Posligua,1M Diving,Timed Finals,3rd,267.65,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
97,Mohamed Neuman,1M Diving,Timed Finals,4th,260.85,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
98,Michael Huebner,1M Diving,Timed Finals,1st,293.7,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
99,Anton Hoherz,1M Diving,Timed Finals,2nd,293.45,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
100,Jonatan Posligua,3M Diving,Timed Finals,2nd,274.45,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
101,Michael Huebner,3M Diving,Timed Finals,4th,256.6,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
102,Anton Hoherz,3M Diving,Timed Finals,1st,341.6,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
103,Jacob Rosenkoetter,50 Y Back,Timed Finals,5th,24.25,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
104,Ryan Purdy,50 Y Back,Timed Finals,3rd,23.58,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
105,Preston Planells,50 Y Back,Timed Finals,6th,24.31,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
106,Thomas Pederson,50 Y Back,Timed Finals,8th,26.11,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
107,Anze Fers,50 Y Back,Timed Finals,2nd,23.53,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
108,John Colin,50 Y Back,Timed Finals,1st,23.29,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
109,Daniel Swanepoel,50 Y Breast,Timed Finals,1st,26.07,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
110,Tom Schab,50 Y Breast,Timed Finals,11th,28.81,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
111,Andrew Fierke,50 Y Breast,Timed Finals,6th,27.01,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
112,Weston Credit,50 Y Breast,Timed Finals,3rd,26.61,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
113,Dolan Craine,50 Y Breast,Timed Finals,7th,27.23,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
114,Caleb Babb,50 Y Breast,Timed Finals,4th,26.78,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
115,Michael Tenney,50 Y Fly,Timed Finals,3rd,22.8,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
116,Aleksey TARASENKO,50 Y Fly,Timed Finals,5th,22.91,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
117,Will Myhre,50 Y Fly,Timed Finals,2nd,22.78,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
118,Joe Myhre,50 Y Fly,Timed Finals,6th,22.97,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
119,Samuel Dumford,50 Y Fly,Timed Finals,10th,23.39,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
120,Mateusz Arndt,50 Y Fly,Timed Finals,9th,23.25,,–,"Iowa vs. Michigan State, Northern Iowa",3-Oct-19,SCY,M,2019-2020
