id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
401112207,2019,9,regular,2019-10-26T19:30:00.000Z,,false,true,44715,3953,TCF Bank Stadium,135,Minnesota,Big Ten,52,14,14,10,14,0.9999978855995255,120,Maryland,Big Ten,10,0,3,0,7,0.0000021144004744844125,1.0378041045
401112227,2019,9,regular,2019-10-26T23:30:00.000Z,,false,false,111909,3558,Michigan Stadium,130,Michigan,Big Ten,45,3,14,7,21,0.9986872349375122,87,Notre Dame,FBS Independents,14,0,0,7,7,0.0013127650624877862,3.0150092493
401112208,2019,10,regular,2019-11-02T16:00:00.000Z,,false,true,40701,3665,Maryland Stadium,120,Maryland,Big Ten,7,0,0,7,0,0.004476659046131683,130,Michigan,Big Ten,38,14,7,14,3,0.9955233409538683,0.5390413113
401112243,2019,10,regular,2019-11-02T16:00:00.000Z,,false,true,50606,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,31,0,14,3,14,0.9539961982725755,158,Nebraska,Big Ten,27,10,0,3,14,0.046003801727424465,9.0737335391
401112153,2019,10,regular,2019-11-02T19:30:00.000Z,,false,true,35652,3832,Memorial Stadium,356,Illinois,Big Ten,38,10,0,21,7,0.9998657990965302,164,Rutgers,Big Ten,10,0,10,0,0,0.00013420090346982771,1.92409932469999
401112165,2019,10,regular,2019-11-02T23:00:00.000Z,,false,true,40924,3830,Memorial Stadium,84,Indiana,Big Ten,34,10,14,7,3,0.9996158155775368,77,Northwestern,Big Ten,3,0,3,0,0,0.0003841844224632407,1.7093421458
401112249,2019,11,regular,2019-11-09T17:00:00.000Z,,false,true,37194,3911,Ryan Field,77,Northwestern,Big Ten,22,14,2,0,6,0.5864586582289325,2509,Purdue,Big Ten,24,0,7,14,3,0.4135413417710675,8.0456578729
401112209,2019,11,regular,2019-11-09T17:00:00.000Z,,false,true,101022,3861,Ohio Stadium,194,Ohio State,Big Ten,73,21,21,10,21,0.9980700025108876,120,Maryland,Big Ten,14,0,0,7,7,0.0019299974891123783,0.0468866373000009
401112235,2019,11,regular,2019-11-09T17:00:00.000Z,,false,true,51883,3953,TCF Bank Stadium,135,Minnesota,Big Ten,31,14,10,0,7,0.940185317968706,213,Penn State,Big Ten,26,10,3,6,7,0.05981468203129403,5.5382650042
401112154,2019,11,regular,2019-11-09T20:30:00.000Z,,false,true,63370,3936,Spartan Stadium,127,Michigan State,Big Ten,34,14,14,3,3,0.7324222368551566,356,Illinois,Big Ten,37,3,7,0,27,0.2675777631448434,3.7908518628
401112198,2019,11,regular,2019-11-09T21:00:00.000Z,,false,true,78018,347,Camp Randall Stadium,275,Wisconsin,Big Ten,24,0,14,7,3,0.9453416711288803,2294,Iowa,Big Ten,22,3,3,0,16,0.054658328871119655,4.4389846246
401112250,2019,12,regular,2019-11-16T17:00:00.000Z,,false,false,29447,3911,Ryan Field,77,Northwestern,Big Ten,45,0,21,3,21,0.9993063505628821,113,UMass,FBS Independents,6,3,3,0,0,0.0006936494371179158,0.4102325503
401112244,2019,12,regular,2019-11-16T17:00:00.000Z,,false,true,88842,3834,Memorial Stadium,158,Nebraska,Big Ten,21,7,7,7,0,0.22804095851501605,275,Wisconsin,Big Ten,37,7,20,7,3,0.771959041484984,2.6979048733
401112166,2019,12,regular,2019-11-16T17:00:00.000Z,,false,true,106323,3632,Beaver Stadium,213,Penn State,Big Ten,34,17,3,7,7,0.9707720267387241,84,Indiana,Big Ten,27,14,0,3,10,0.029227973261275908,3.8718591998
401112219,2019,12,regular,2019-11-16T17:00:00.000Z,,false,true,111496,3558,Michigan Stadium,130,Michigan,Big Ten,44,0,17,10,17,0.9998188898302602,127,Michigan State,Big Ten,10,7,0,3,0,0.00018111016973976213,2.29015208989999
401112255,2019,12,regular,2019-11-16T20:30:00.000Z,,false,true,33528,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,21,7,0,7,7,0.0037315878829437855,194,Ohio State,Big Ten,56,21,14,14,7,0.9962684121170562,0.0389647264
401112199,2019,12,regular,2019-11-16T21:00:00.000Z,,false,true,67518,3793,Kinnick Stadium,2294,Iowa,Big Ten,23,13,7,0,3,0.5459993169269416,135,Minnesota,Big Ten,19,0,6,7,6,0.4540006830730584,4.4181035235
401112155,2019,13,regular,2019-11-23T17:00:00.000Z,,false,true,58331,3793,Kinnick Stadium,2294,Iowa,Big Ten,19,7,6,0,6,0.8180589162689963,356,Illinois,Big Ten,10,7,0,0,3,0.1819410837310037,3.62653967
401112220,2019,13,regular,2019-11-23T17:00:00.000Z,,false,true,24641,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,0,0,0,0,0,0.0035434711356012736,127,Michigan State,Big Ten,27,10,7,3,7,0.9964565288643987,1.1951435053
401112256,2019,13,regular,2019-11-23T17:00:00.000Z,,false,true,104355,3861,Ohio Stadium,194,Ohio State,Big Ten,28,7,7,7,7,0.9887402654489654,213,Penn State,Big Ten,17,0,0,17,0,0.011259734551034573,1.9519823798
401112236,2019,13,regular,2019-11-23T17:00:00.000Z,,false,true,30246,3911,Ryan Field,77,Northwestern,Big Ten,22,0,9,7,6,0.1696029296852969,135,Minnesota,Big Ten,38,14,7,7,10,0.8303970703147031,1.3550595502
401112210,2019,13,regular,2019-11-23T20:30:00.000Z,,false,true,34082,3665,Maryland Stadium,120,Maryland,Big Ten,7,0,0,0,7,0.0036224776138830115,158,Nebraska,Big Ten,54,17,17,10,10,0.996377522386117,1.53452445809999
