offense,offense_conference,defense,defense_conference,game_id,id,drive_number,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Michigan,Big Ten,Middle Tennessee,Conference USA,401112222,40111222227,27,true,4,85,15,8,48,4,100,0,6,37,2,11,5,15,TD
Middle Tennessee,Conference USA,Michigan,Big Ten,401112222,40111222228,28,false,4,75,75,6,37,4,44,44,3,44,2,53,8,31,DOWNS
Michigan,Big Ten,Middle Tennessee,Conference USA,401112222,40111222229,29,false,4,44,56,3,44,4,49,51,2,0,1,44,3,4,PUNT
Middle Tennessee,Conference USA,Michigan,Big Ten,401112222,40111222230,30,true,4,80,80,2,0,4,0,0,1,6,,54,3,80,TD
Michigan,Big Ten,Middle Tennessee,Conference USA,401112222,40111222231,31,false,4,56,44,1,6,4,56,44,0,0,1,6,2,0,END OF GAME
Army,FBS Independents,Michigan,Big Ten,401112223,4011122236,1,false,1,75,75,15,0,1,69,69,12,54,2,6,3,6,PUNT
Michigan,Big Ten,Army,FBS Independents,401112223,4011122239,2,false,1,27,73,12,54,1,60,40,10,13,2,41,7,33,FUMBLE
Army,FBS Independents,Michigan,Big Ten,401112223,40111222310,3,true,1,60,60,10,13,1,0,0,5,1,5,12,10,60,TD
Michigan,Big Ten,Army,FBS Independents,401112223,40111222313,4,true,1,30,70,5,1,1,100,0,0,24,4,37,11,70,TD
Army,FBS Independents,Michigan,Big Ten,401112223,40111222314,5,false,1,75,75,0,24,1,79,79,0,16,,8,1,-4,FUMBLE
Michigan,Big Ten,Army,FBS Independents,401112223,40111222317,6,false,1,79,21,0,16,1,72,28,0,10,,6,1,-7,FUMBLE
Army,FBS Independents,Michigan,Big Ten,401112223,40111222318,7,false,1,72,72,0,10,2,70,70,12,2,3,8,6,2,PUNT
Michigan,Big Ten,Army,FBS Independents,401112223,40111222321,8,false,2,6,94,12,2,2,40,60,9,37,2,25,5,34,FUMBLE
Army,FBS Independents,Michigan,Big Ten,401112223,40111222322,9,true,2,40,40,9,37,2,0,0,2,51,6,46,11,40,TD
Michigan,Big Ten,Army,FBS Independents,401112223,40111222325,10,false,2,23,77,2,51,2,63,37,0,0,2,51,12,40,DOWNS
Army,FBS Independents,Michigan,Big Ten,401112223,40111222326,11,false,2,63,63,0,0,2,63,63,0,0,,,0,0,END OF HALF
Michigan,Big Ten,Army,FBS Independents,401112223,40111222329,12,false,3,16,84,15,0,3,16,84,13,21,1,39,3,0,PUNT
Army,FBS Independents,Michigan,Big Ten,401112223,40111222330,13,false,3,65,65,13,21,3,5,5,7,43,5,38,10,60,INT
Michigan,Big Ten,Army,FBS Independents,401112223,40111222333,14,true,3,22,78,7,43,3,100,0,2,24,5,19,12,78,TD
Army,FBS Independents,Michigan,Big Ten,401112223,40111222334,15,false,3,75,75,2,24,4,68,68,14,49,2,35,3,7,PUNT
Michigan,Big Ten,Army,FBS Independents,401112223,40111222337,16,false,4,32,68,14,49,4,77,23,9,58,4,51,11,45,DOWNS
Army,FBS Independents,Michigan,Big Ten,401112223,40111222338,17,false,4,77,77,9,58,4,59,59,6,28,3,30,5,18,PUNT
Michigan,Big Ten,Army,FBS Independents,401112223,40111222341,18,false,4,16,84,6,28,4,58,42,2,32,3,56,8,42,DOWNS
Army,FBS Independents,Michigan,Big Ten,401112223,40111222342,19,false,4,58,58,2,32,4,33,33,0,0,2,32,10,25,MISSED FG
Michigan,Big Ten,Army,FBS Independents,401112223,40111222345,20,false,4,33,67,0,0,4,33,67,15,0,,,1,0,END OF HALF
Army,FBS Independents,Michigan,Big Ten,401112223,40111222346,21,true,5,25,25,0,0,5,0,0,0,0,,,5,25,TD
Michigan,Big Ten,Army,FBS Independents,401112223,40111222347,22,true,5,75,25,0,0,5,100,0,0,0,,,4,25,TD
Michigan,Big Ten,Army,FBS Independents,401112223,40111222348,23,true,6,75,25,0,0,6,75,25,0,0,,,4,0,MISSED FG
Michigan,Big Ten,Army,FBS Independents,401112223,40111222349,24,false,6,36,64,0,0,6,36,64,0,0,,,4,0,FG
Army,FBS Independents,Michigan,Big Ten,401112223,40111222350,25,false,6,25,25,0,0,6,36,36,0,0,,,3,-11,FUMBLE
Wisconsin,Big Ten,Michigan,Big Ten,401112224,4011122241,1,true,1,25,75,15,0,1,100,0,8,35,6,25,12,75,TD
Michigan,Big Ten,Wisconsin,Big Ten,401112224,4011122242,2,false,1,75,75,8,35,1,7,7,7,50,,45,3,71,FUMBLE
Wisconsin,Big Ten,Michigan,Big Ten,401112224,4011122243,3,false,1,4,96,7,50,1,51,49,3,49,4,1,8,47,PUNT
Michigan,Big Ten,Wisconsin,Big Ten,401112224,4011122244,4,false,1,80,80,3,49,1,75,75,2,53,,56,3,5,PUNT
Wisconsin,Big Ten,Michigan,Big Ten,401112224,4011122245,5,true,1,28,72,2,53,1,100,0,2,43,,10,1,72,TD
Michigan,Big Ten,Wisconsin,Big Ten,401112224,4011122246,6,false,1,75,75,2,43,1,64,64,0,9,2,34,6,11,PUNT
Wisconsin,Big Ten,Michigan,Big Ten,401112224,4011122247,7,true,1,20,80,0,9,2,100,0,6,40,8,29,15,80,TD
Michigan,Big Ten,Wisconsin,Big Ten,401112224,4011122248,8,false,2,75,75,6,40,2,57,57,5,44,,56,4,18,INT
Wisconsin,Big Ten,Michigan,Big Ten,401112224,4011122249,9,false,2,42,58,5,44,2,47,53,2,0,3,44,5,5,PUNT
Michigan,Big Ten,Wisconsin,Big Ten,401112224,40111222410,10,false,2,85,85,2,0,2,97,97,1,11,,49,3,-12,PUNT
Wisconsin,Big Ten,Michigan,Big Ten,401112224,40111222411,11,true,2,57,43,1,11,2,100,0,0,57,,14,2,43,TD
Michigan,Big Ten,Wisconsin,Big Ten,401112224,40111222412,12,false,2,75,75,0,57,2,66,66,0,0,,57,3,9,END OF HALF
Michigan,Big Ten,Wisconsin,Big Ten,401112224,40111222413,13,false,3,75,75,15,0,3,54,54,13,15,1,45,5,21,PUNT
Wisconsin,Big Ten,Michigan,Big Ten,401112224,40111222414,14,true,3,16,84,13,15,3,100,0,5,13,8,2,13,84,TD
Michigan,Big Ten,Wisconsin,Big Ten,401112224,40111222415,15,true,3,75,75,5,13,3,0,0,2,8,3,5,9,75,TD
Wisconsin,Big Ten,Michigan,Big Ten,401112224,40111222416,16,false,3,14,86,2,8,4,35,65,12,46,4,22,6,21,PUNT
Michigan,Big Ten,Wisconsin,Big Ten,401112224,40111222417,17,false,4,73,73,12,46,4,73,73,11,49,,57,3,0,PUNT
Wisconsin,Big Ten,Michigan,Big Ten,401112224,40111222418,18,false,4,26,74,11,49,4,69,31,7,56,3,53,7,43,MISSED FG
Michigan,Big Ten,Wisconsin,Big Ten,401112224,40111222419,19,true,4,69,69,7,56,4,0,0,4,56,3,,8,69,TD
Michigan,Big Ten,Wisconsin,Big Ten,401112224,40111222420,20,false,4,56,56,4,56,4,19,19,2,55,2,1,10,37,FUMBLE
Wisconsin,Big Ten,Michigan,Big Ten,401112224,40111222421,21,false,4,16,84,2,55,4,25,75,2,28,,27,3,9,PUNT
Michigan,Big Ten,Wisconsin,Big Ten,401112224,40111222422,22,false,4,66,66,2,28,4,60,60,1,20,1,8,4,6,INT
Wisconsin,Big Ten,Michigan,Big Ten,401112224,40111222423,23,false,4,54,46,1,20,4,52,48,0,0,1,20,2,-2,END OF GAME
